rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
1,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,1,19,9354448,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
3,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,3,19,5993875,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
8,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,2,7,19,3714261,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,
9,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,4,9,19,3379457,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,
14,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,7,13,19,2946170,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,
15,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,6,14,19,2901225,pop; power pop; rnb; disco; acid rock,True,,,
21,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,5,19,19,2631745,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,
23,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,6,20,19,2573160,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,
28,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,5,23,19,2462592,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,
33,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,10,29,19,2329454,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,
34,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,5,28,19,2325134,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,
52,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,12,45,19,2066880,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,
