rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,2,201,5388592,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
30,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,27,168,2484073,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
32,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,26,198,2476853,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
33,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,31,638,2472082,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
41,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,34,309,2328808,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
78,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,58,264,1765475,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
81,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,71,183,1732253,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
91,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,73,212,1667170,pop; country; love; indie folk; country pop,True,You Belong With Me,,
94,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,75,376,1637305,pop; electropop; gospel; edm; exile,True,Golden Collection,,
153,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,155,114,1314324,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
174,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,115,50,1254895,pop rock; rock; indie rock; pop; country rock,True,,,
188,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,181,40,1217371,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
195,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,186,64,1206676,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
