rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
1,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,1,34,7530283,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
4,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,3,34,4798940,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
27,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,2,22,34,2263311,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,
41,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,4,39,34,2021734,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,
64,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,7,58,34,1751920,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,
66,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,6,59,34,1738601,pop; power pop; rnb; disco; acid rock,True,,,
88,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,5,85,34,1543194,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,
92,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,6,90,34,1524194,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,
109,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,5,105,34,1451776,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,
136,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,10,124,34,1369400,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,
141,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,5,134,34,1335449,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,
177,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,12,164,34,1205651,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,
