rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,2,192,5064536,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
29,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,27,159,2436134,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
31,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,31,189,2406428,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
35,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,34,629,2322302,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
37,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,37,300,2277735,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
59,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,54,255,1808885,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
71,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,68,174,1626789,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
81,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,75,203,1566006,pop; country; love; indie folk; country pop,True,You Belong With Me,,
88,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,85,367,1527760,pop; electropop; gospel; edm; exile,True,Golden Collection,,
105,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,100,41,1407390,pop rock; rock; indie rock; pop; country rock,True,,,
137,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,133,105,1251856,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
185,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,172,31,1144330,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
189,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,181,55,1128852,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
191,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,179,41,1126791,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
