rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,2,149,4401415,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
31,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,31,36,586,2207286,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
34,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,33,257,2178989,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
42,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,39,39,116,2052836,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
52,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,56,212,1816116,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
65,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,65,180,1741284,country; pop; taylor swift; love; country pop,True,Speak Now,,
69,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,71,131,1676383,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
103,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,97,324,1428120,pop; electropop; gospel; edm; exile,True,Golden Collection,,
111,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,104,160,1374619,pop; country; love; indie folk; country pop,True,You Belong With Me,,
135,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,131,147,1268898,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
141,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,164,62,1251923,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
